,Indicator,Country,Date,value
282,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-20,0.0
283,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-20,6.0
284,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-20,8.0
285,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-20,0.0
286,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-20,0.0
287,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-20,1.0
288,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-19,0.0
289,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-19,1875.0
290,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-19,3587.0
291,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-19,3132.0
292,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-19,6.0
293,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-19,8.0
294,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-19,0.0
295,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-19,0.0
296,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-19,1.0
297,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-16,6.0
298,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-16,0.0
299,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-16,1829.0
300,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-16,3556.0
301,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-16,3083.0
302,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-16,8.0
303,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-16,0.0
