,Indicator,Country,Date,value
228,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-04,3205.0
229,Cumulative number of confirmed Ebola cases,Guinea,2015-03-04,2808.0
230,Cumulative number of probable Ebola cases,Guinea,2015-03-04,392.0
231,Cumulative number of suspected Ebola cases,Guinea,2015-03-04,5.0
232,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-04,2127.0
233,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-04,1735.0
234,Cumulative number of probable Ebola deaths,Guinea,2015-03-04,392.0
235,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-04,9265.0
236,Cumulative number of confirmed Ebola cases,Liberia,2015-03-04,3153.0
237,Cumulative number of probable Ebola cases,Liberia,2015-03-04,1888.0
238,Cumulative number of suspected Ebola cases,Liberia,2015-03-04,4224.0
239,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-04,4057.0
240,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-04,11443.0
241,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-04,8353.0
242,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-04,287.0
243,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-04,2803.0
244,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-04,3530.0
245,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-04,3164.0
246,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-04,208.0
247,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-04,158.0
248,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-02,1.0
249,Cumulative number of probable Ebola cases,United Kingdom,2015-03-02,0.0
250,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-02,0.0
251,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-02,0.0
252,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-02,3205.0
253,Cumulative number of confirmed Ebola cases,Guinea,2015-03-02,2808.0
254,Cumulative number of probable Ebola cases,Guinea,2015-03-02,392.0
255,Cumulative number of suspected Ebola cases,Guinea,2015-03-02,5.0
256,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-02,2127.0
257,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-02,1735.0
258,Cumulative number of probable Ebola deaths,Guinea,2015-03-02,392.0
259,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-02,9265.0
260,Cumulative number of confirmed Ebola cases,Liberia,2015-03-02,3153.0
261,Cumulative number of probable Ebola cases,Liberia,2015-03-02,1888.0
262,Cumulative number of suspected Ebola cases,Liberia,2015-03-02,4224.0
263,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-02,4057.0
264,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-02,11443.0
265,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-02,8353.0
266,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-02,287.0
267,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-02,2803.0
268,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-02,3530.0
269,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-02,3164.0
270,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-02,208.0
271,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-02,158.0
272,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-02,1.0
273,Cumulative number of confirmed Ebola cases,Mali,2015-03-02,7.0
274,Cumulative number of probable Ebola cases,Mali,2015-03-02,1.0
275,Cumulative number of suspected Ebola cases,Mali,2015-03-02,0.0
